text,label
Win a free iPhone now click link,1
Congratulations you won lottery of 10000 dollars,1
Hey are we still meeting tomorrow,0
Urgent your bank account is suspended verify now,1
Let's have lunch at 2 PM,0
Claim your free prize before it expires,1
Can you send me the assignment file,0
You have received a cash reward,1
Are you coming to class today,0
Exclusive offer buy now limited time,1
Meeting rescheduled to Monday,0
You entered a lucky draw winner announced,1
Call me when you are free,0
Win cash daily work from home,1
Submit your project before deadline,0
You won a brand new car,1
Where are you right now,0
Limited time offer act fast,1
Let's go for dinner tonight,0
Verify your account immediately,1
Free subscription activated for you,1
Happy birthday have a great day,0
Click here to claim your reward,1
Are you done with homework,0
You got a free gift card,1
Important meeting at 10 AM,0
Earn money fast from home,1
See you at the party tonight,0
Your package is waiting confirm details,1
Good morning how are you,0
Win 5000 instantly click link,1
Can you help me with notes,0
Congratulations you are a lucky winner,1
Doctor appointment tomorrow at 5 PM,0
Get free access to premium content,1
Are you free this weekend,0
Urgent response needed for your account,1
Let's play cricket today,0
You are pre-approved for loan,1
Send me your location,0
